Key,subtask,issue_id,Parent_id,Summary,Issue Type,Status,Priority,Sprint,Rank
AS-1156,"AS-1568, AS-1569, AS-1579",37,,iPhone - VDP: User can use contact form to contact dealer directly,Story,Closed,Normal,"Sprint 4, Mobile 2.5 (iPhone) - Sprint 4",86404
AS-116,,38,,Lifestyle Center: User can see photos and videos of Models within Lifestyle segments,Story,New,Normal,None,61093
AS-1162,"AS-1574, AS-1575, AS-1581, AS-1583",39,,"iPhone - VDP: Warranty: As a user, I want to see valid warranty information on the VDP",Story,Closed,Normal,"Sprint 5, Mobile 2.5 (iPhone) - Sprint 4",86406
AS-1163,"AS-1756, AS-1813",40,,"iPhone - SRP: As a User, I can save a Listing from the SRP List before visiting the VDP so I can review it later",Story,Closed,Normal,"Sprint 5, Mobile 2.5 (iPhone) - Sprint 6",495
AS-1164,"AS-1684, AS-1692, AS-1712",41,,"iPhone - myATC: Forgot Password: As a user, I can request password retrieval by entering a myATC email address",Story,Closed,Normal,"Sprint 5, Mobile 2.5 (iPhone) - Sprint 5",86491
AS-1165,,42,,"iPhone - myATC: Guest Mode: As a user, I should be able to skip registration or log in to search for inventory",Story,Closed,Normal,Sprint 5,86487
AS-1166,"AS-1685, AS-1686, AS-1687, AS-1696",43,,"iPhone - myATC: Registration: As a user, I can register for myATC in order to save listings",Story,Closed,Normal,"Sprint 5, Mobile 2.5 (iPhone) - Sprint 5",86492
AS-1167,"AS-1772, AS-1816, AS-1817, AS-1818, AS-1819, AS-1820, AS-1821, AS-1879, AS-1881",44,,"iPhone - Saved: Delete: As a user, I should be able to remove listings that I have previously saved.",Story,Closed,Normal,"Sprint 5, Mobile 2.5 iPhone - Sprint 7",86440
AS-1168,"AS-1760, AS-1761, AS-1762, AS-1765, AS-1766, AS-1768, AS-1770, AS-1774, AS-1799, AS-1809, AS-1814, AS-1828, AS-1839",45,,"iPhone - Saved: Saved Listings: As a user, I should be able to see all of my saved listings and view each listing at any time by selecting it.",Story,Closed,Normal,"Sprint 5, Mobile 2.5 (iPhone) - Sprint 6",496
AS-1169,"AS-1690, AS-1691, AS-1703",46,,iPhone - VDP: User can save a listing to Saved Items to review it later,Story,Closed,Normal,"Sprint 5, Mobile 2.5 (iPhone) - Sprint 5",86494
AS-117,"AS-215, AS-220, AS-222, AS-651, AS-692, AS-693, AS-694, AS-695, AS-696, AS-784, AS-785, AS-786, AS-787, AS-788, AS-789, AS-790, AS-791",47,,Home: User can tap on Display Ads to see internal links,Story,Closed,Normal,Sprint 7,56571
AS-1178,"AS-1674, AS-1675",48,,"iPhone - Home: If User declines use of location services, user will be prompted to enter manual zip",Story,Closed,Normal,"Sprint 6, Mobile 2.5 (iPhone) - Sprint 5",86488
AS-1179,"AS-1757, AS-1769, AS-1771, AS-1773, AS-1775, AS-1777, AS-1780, AS-1781, AS-1832",49,,"iPhone - Global Nav: Find Local Dealers: As a user, I should be able to find local dealers. (find by dealers)",Story,Closed,Normal,"Sprint 6, Mobile 2.5 (iPhone) - Sprint 6",492
AS-118,,50,,Saved: User can use Map to see Saved Inventory,Story,Closed,Low,v1.1 - Sprint 1,56812
AS-1180,,51,,"iPhone - Home: Find by Make: As a user, if I should be able to see listings for a specific make.",Story,Closed,Normal,Sprint 6,93572
AS-1181,,52,,"iPhone - Home: Find by Price: As a user, I should be able to see listings that meet my needs based on the price of the vehicle.",Story,Closed,Normal,Sprint 6,93573
AS-1182,,53,,"iPhone - Home: Find by Style: As a user, I should be able to see listings that meet my needs based on Style",Story,Closed,Normal,Sprint 6,93574
AS-1188,"AS-1688, AS-1702",54,,"iPhone - As a user, I want to Return to Search so I can continue browsing Listings",Story,Closed,Normal,"Sprint 7, Mobile 2.5 (iPhone) - Sprint 5",86493
AS-1189,AS-1354,55,,"iPhone - Global Nav: Settings: As a user, I can view version information",Story,Closed,Normal,"Sprint 7, Mobile 2.5 (iPhone) - Sprint 1",86327
AS-119,,56,,Budget Hub: User can set Budget in Budget Hub to view models within that budget,Story,New,Normal,None,61070
AS-1190,"AS-1355, AS-1362",57,,"iPhone - Global Nav: Settings: As a user, I can submit feedback via email to provide suggestions to the app developers",Story,Closed,Normal,"Sprint 7, Mobile 2.5 (iPhone) - Sprint 1",86328
AS-1191,"AS-1344, AS-1345, AS-1346, AS-1347",58,,"iPhone - Global Nav: As a user, I need to be able to navigate to key areas of the app at any time.",Story,Closed,Normal,"Sprint 7, Mobile 2.5 (iPhone) - Sprint 0",2315
AS-1192,"AS-1334, AS-1335, AS-1336, AS-1337, AS-1338, AS-1339, AS-1348",59,,"iPhone - Home: Make/Model Search: As a user, if I know what I want, I should be able to just specify a make/model and see listings.",Story,Closed,Normal,"Sprint 7, Mobile 2.5 (iPhone) - Sprint 0",2314
AS-1193,,60,,iPhone - Home: User can tap on Display Ads to see internal links,Story,Closed,Normal,"Sprint 7, Mobile 2.5 iPhone Backlog",86433
AS-1194,"AS-1350, AS-1351, AS-1352, AS-1353",61,,iPhone - Global Nav: Terms & Conditions: As a user I want to know how AutoTrader.com is going to use my information and what terms I am agreeing to by using their app.,Story,Closed,Normal,"Sprint 7, Mobile 2.5 (iPhone) - Sprint 1",86326
AS-120,AS-121,62,,Budget Hub: User can browse Models within set Budget to view model details,Story,New,Normal,None,61075
AS-1202,"AS-1878, AS-1901",63,,"iPhone - As a user, I want to be alerted when new versions of the Autotrader.com iOS application is available",Story,Closed,Normal,"HIP 2 / Deployment, Mobile 2.5 iPhone - Sprint 7",86434
AS-1204,,64,,"iPhone - Analytics: Global: As a company, we want all users of the app to be counted by ComScore",Story,Closed,Normal,"Sprint 8, Mobile 2.5 iPhone - Sprint 7",86435
AS-1206,"AS-1570, AS-1571, AS-1572, AS-1573, AS-1580",65,,"iPhone - VDP: Research (Reviews/Editorial): As a user, I want to read editorial content based on the VDP I'm currently viewing",Story,Closed,Normal,"Sprint 8, Mobile 2.5 (iPhone) - Sprint 4",86405
AS-1208,,66,,"iPhone - As a user, I can use the ""I'm at the Dealer"" button to view the Dealer Specific SRP and Saved Content screens",Story,New,Normal,Mobile 2.5 iPhone Backlog,86448
AS-1213,,67,,"iPhone - As a Dealer, I want to use Alpha to reach potential shoppers and drive them to my dealership",Story,New,Normal,Mobile 2.5 iPhone - HIP 2,99971
AS-1214,"AS-2004, AS-2005, AS-2006, AS-2007, AS-2019",68,,"iPhone - As a Dealer, I want to use Spotlight placements to promote a specific car in my inventory",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 8,86458
AS-1217,"AS-1763, AS-1764, AS-1880",69,,"iPhone - Saved: Saved Listings: If a listing no longer exists, I should be presented with an option to view similar listings",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 7,86436
AS-1218,"AS-1693, AS-1694, AS-1695, AS-1704",70,,iPhone - SRP: User can save search to Saved Searches to review results later,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86495
AS-122,,71,,Features Hub: User can Search by Features find inventory that fit their needs,Story,New,Normal,None,61071
AS-1223,"AS-1776, AS-1779, AS-1782, AS-1783, AS-1784, AS-1829, AS-1834",72,,"iPhone - Saved: Saved Searches: As a user, I should be able to see all of my saved searches and view the search results for each saved search at any time without having to re-select all of the filters and sort options.",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 6,497
AS-1227,"AS-1576, AS-1582",73,,"iPhone - VDP: As a user, I want to watch Video Reviews to learn more about the vehicle I'm considering",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 4,86407
AS-1228,,74,,"iPhone - As a user, I want to view a Dealer's Rating and any reviews",Story,New,Low,Mobile 2.5 iPhone Backlog,86455
AS-1229,,75,,"iPhone - As a cross-platform user, I want to view Recent Searches I've performed and view the results again",Story,New,Low,Mobile 2.5 iPhone Backlog,86454
AS-1230,,76,,"iPhone - As a user, I want to read vehicle rating and reviews based on KBB data so I can make informed decisions",Story,New,Low,Mobile 2.5 iPhone Backlog,86453
AS-1231,,77,,"iPhone - As a buyer or seller, I want to read messages in the Message Center so I can communicate with another user",Story,New,Low,Mobile 2.5 iPhone Backlog,86451
AS-1232,,78,,"iPhone - As a user, I want to be able to opt in to receive SMS or Email alerts for each of my saved cars and searches",Story,New,Low,Mobile 2.5 iPhone Backlog,86452
AS-1233,,79,,"iPhone - At the dealership, I want to search for vehicles based on the VIN number using the scan & find feature",Story,New,Normal,Mobile 2.5 iPhone Backlog,86449
AS-1241,"AS-1244, AS-1245, AS-1246, AS-1247, AS-1248",80,,"iPad - VDP: As a user, I want to be able to share listings of interest with friends and family via email.",Story,Closed,Normal,v1.2 - Sprint 4,2647
AS-126,,81,,User can view Article Detail page to learn more about cars,Story,New,Normal,None,61089
AS-1266,"AS-1804, AS-1805",82,,Implement Analytics Spec for HOME,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 6,500
AS-1268,AS-1806,83,,Implement Analytics Spec in SRP,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 6,499
AS-1269,,84,,Implement Analytics Spec in VDP,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 6,501
AS-1270,,85,,Implement Analytics Spec in myATC,Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 7,86438
AS-1271,,86,,Implement Analytics Spec in Saved Items,Story,Closed,Normal,"Mobile 2.5 iPhone - Sprint 7, Mobile 2.5 iPhone - Sprint 8",86471
AS-1272,,87,,Implement Analytics Spec in SETTINGS,Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 7,86439
AS-1300,"AS-1304, AS-1330, AS-1331, AS-1332, AS-1333, AS-1342",88,,Universal binary architecture,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 0,2312
AS-1301,,89,,SPIKE: Assess Showroom shared components,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 0,2311
AS-1302,,90,,SPIKE: Review Nick's list selection framework,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 0,2310
AS-1309,"AS-1310, AS-1312, AS-1313, AS-1314",91,,Update the Saved Search (V1.2),Story,Closed,Normal,iPad v1.3 - Alpha & Spotlight,2288
AS-1384,"AS-1493, AS-1498, AS-1499, AS-1500",92,,"iPhone - SRP: Filter: As a user, I can filter based on Color",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86336
AS-1385,"AS-1478, AS-1497",93,,"iPhone - SRP: Filter: As a user, I can filter based on Mileage",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86337
AS-1386,"AS-1485, AS-1489",94,,"iPhone - SRP : Filter: As a user, I can filter based on the Vehicle Features",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86340
AS-1387,"AS-1483, AS-1491",95,,"iPhone - SRP: Filters: As a user, I can filter based on Engine",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86339
AS-1388,"AS-1484, AS-1490",96,,"iPhone - SRP: Filters: As a user, I can filter based on Doors to narrow my search",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86341
AS-1389,"AS-1486, AS-1488",97,,"iPhone - SRP: Filters: As a user, I can filter based on Fuel Type",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86342
AS-1390,"AS-1475, AS-1487",98,,"iPhone - SRP: Filters: As a user, I can filter based on miles per gallon (MPG)",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86343
AS-1391,"AS-1495, AS-1501, AS-1502",99,,"iPhone - SRP: Filters: As a user, I can filter based on the Location and radius",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86344
AS-1439,"AS-1440, AS-1441",100,,Create technical documentation,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 2,86363
AS-1444,"AS-1994, AS-1995, AS-1996",101,,"VDP: Ecommerce - as an advertiser, I want to reach in-market car shoppers with relevant offers of goods and services.",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 8,86456
AS-1445,"AS-1997, AS-1998, AS-2000, AS-2001, AS-2002",102,,"SRP: Sponsored and Superliners - as an advertiser, I want to reach in-market shoppers with relevant offers for goods and services.",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 8,86457
AS-1446,"AS-1873, AS-1874, AS-1875, AS-1876, AS-1877",103,,"As an advertiser, I want to reach in-market car shoppers with relevant offers for goods and services.",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 7,86437
AS-1447,"AS-1554, AS-1584",104,,iPhone - VDP: User can navigate between VDP subsections to that he can see all VDP content,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 4,86364
AS-1456,"AS-1785, AS-1787, AS-1788, AS-1791, AS-1796, AS-1798, AS-1830",105,,"iPhone - Home: As a user, I would like to view dealers local to me from the homescreen of the app",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 6,498
AS-1458,"AS-1807, AS-1808, AS-1827",106,,"iPhone - VDP: As a user, I can view Dealer Inventory",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 6,494
AS-1474,"AS-1503, AS-1504, AS-1505",107,,Create Technical Documentation,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86330
AS-1476,"AS-1477, AS-1480, AS-1481, AS-1482",108,,Filters: Dev Task-Refit Existing View Controller,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86333
AS-1494,"AS-1404, AS-1405, AS-1418, AS-1420, AS-1423, AS-1426, AS-1496",109,,Filter: Animations and Refactoring,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86331
AS-1506,,110,,SPIKE: SRP - List View,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 3,86338
AS-1514,"AS-1680, AS-1682, AS-1683, AS-1689",111,,SRP: User can browse the SRP List View and toggle between List/Gallery views for listings matching their search criteria to find a car,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86490
AS-1515,,112,,"iPhone - Saved Listings: As a user, I want to be able to make notes on saved listings",Story,New,Normal,Mobile 2.5 iPhone Backlog,86450
AS-1516,,113,,"iPad - Saved Listings: As a user, I want to be able to make notes on saved listings",Story,New,Normal,None,94721
AS-1544,"AS-1556, AS-1563",114,,iPhone - VDP: As a user I can view full Vehicle Options from a listing,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 4,86366
AS-1549,"AS-1577, AS-1578",115,,iPhone- Feedback: Global Body Text Update,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95584
AS-1560,AS-1561,116,,iPhone- Technical documentation,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 4,86408
AS-1564,,117,,iPhone: VDP- Images in Full Screen: Implement pinch to zoom,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95579
AS-1585,"AS-1810, AS-1811, AS-1812, AS-1826",118,,"iPhone - Dealers: As a user, I would like to review the listings specific to each local dealer (dealer SRP)",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 6,493
AS-1586,"AS-1801, AS-1872, AS-1884",119,,"iPhone - Saved: Replace: As a user, if I have hit my limit of searches, I should be able to replace searches previously saved.",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 7,86443
AS-1594,,120,,"Analytics: As a company, we would like to gather user surveys from a portion of our users",Story,New,Normal,Mobile 2.5 iPhone - HIP 2,99972
AS-1606,,121,,"Feedback: Global Nav- Change ""Sign up / in"" to ""Sign up / Sign in""",Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95580
AS-1608,,122,,iPad 1.2.1: VDP- Add SYC button and use specified data elements to build string,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95581
AS-1609,,123,,iPad 1.2.1: Defect: Saved Listings Services Update,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95583
AS-1618,,124,,iPad 1.2.1: Defect: SRP Page Tagging,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95585
AS-1619,,125,,iPad 1.2.1: Defect: LNX Code Fix,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95578
AS-1621,"AS-1677, AS-1678, AS-1679, AS-1681",126,,"iPhone: VDP- As a user, I want to be able to share listings of interest with friends and family via text or email",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86489
AS-1623,,127,,iPhone 2.5 - Pinch to Zoom,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95573
AS-1624,,128,,iPhone 2.5 - Stock disclaimer in gallery,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86502
AS-1625,,129,,iPhone 2.5 - VDP Page size for 4s,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95574
AS-1626,,130,,iPhone 2.5 - Factor out Bedrock,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95575
AS-1627,,131,,iPad 1.2.1 - Defect: Update Saved Searches to include zip code and radius in the parameters,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95582
AS-1632,,132,,iPhone 2.5 - SRP Cell Auto Layout,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95576
AS-1633,"AS-1885, AS-1894",133,,iPhone 2.5 - Fancy VDP Animation,Story,Ready for QA,Normal,Mobile 2.5 iPhone - HIP 2,56860
AS-1634,,134,,iPhone 2.5 - UI for AlertView,Story,Closed,Normal,Mobile 2.5 iPhone - HIP 1,95577
AS-1649,,135,,"iPhone - Settings: As a user, I want easy access to information on fraud when shopping for a car",Story,Ready for QA,Normal,Mobile 2.5 iPhone - HIP 2,56856
AS-1653,,136,,Updated Terms & Conditions / Privacy Policy,Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 8,86465
AS-1668,"AS-1698, AS-1699, AS-1705",137,,"iPhone - Home: (More Options) As a user, I'd like to easily access advanced filters when I perform a search from the home screen",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86496
AS-1669,"AS-1700, AS-1706",138,,"iPhone - Home: (TIM) As a user, I would like access to the Trade in Marketplace from the Home Screen",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86497
AS-1670,AS-1701,139,,"iPhone - Home: (SYC) As a user, I would like access to the Sell Your Car site from the Home Screen",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86498
AS-1671,"AS-1697, AS-1714, AS-1719",140,,"iPhone - Home: (Design Updates) As a user, I would like the Home Screen to clearly illustrate what needs to be completed in order to complete a search",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86499
AS-1672,"AS-1732, AS-1735",141,,iPhone - Global Nav: Sell Your Car,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86500
AS-1673,AS-1733,142,,iPhone - Global Nav: Trade in Marketplace Link,Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 5,86501
AS-1676,,143,,"iPhone - SRP: As a user, I would like to be presented with a visual cue when toggle between Grid and List views on the SRP",Story,New,Normal,Mobile 2.5 iPhone - HIP 2,56859
AS-1747,"AS-1786, AS-1789, AS-1793, AS-1794, AS-1795, AS-1871, AS-1883",144,,"iPhone - Saved: Delete: As a user, I should be able to remove a search that I have previously saved.",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 7,86442
AS-1748,"AS-1822, AS-1823, AS-1824, AS-1825, AS-1882",145,,"iPhone - Saved: Replace: As a user, if I have hit my limit of saved listings, I should be able to replace a listing previously saved.",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 7,86441
AS-1767,"AS-1778, AS-1863",146,,Transition animation between grid cell and map,Story,Ready for QA,Normal,"Sprint 5, Mobile 2.5 (iPhone) - Sprint 6, Mobile 2.5 iPhone - Sprint 7, Mobile 2.5 iPhone - Sprint 8, Mobile 2.5 iPhone - HIP 2",56861
AS-1815,,147,,"iPhone: Technical Documentation for Sprints 5, 6, 7, 8",Story,Resolved,Normal,"Mobile 2.5 (iPhone) - Sprint 6, Mobile 2.5 iPhone - Sprint 7, Mobile 2.5 iPhone - Sprint 8",86472
AS-1850,,148,,"STRETCH - As a QA Engineer, I would like to test and track event tags and analytics within the iPhone application",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 8,86463
AS-1886,,149,,Implement Analytics Spec in App,Story,Closed,Normal,"Mobile 2.5 iPhone - Sprint 7, Mobile 2.5 iPhone - Sprint 8",86470
AS-1913,"AS-1931, AS-1932",150,,Contact Owner - Switch from Pidgets to Gearbox Service,Story,Closed,Normal,"Mobile 2.5 iPhone - Sprint 7, Mobile 2.5 iPhone - Sprint 8",86473
AS-1922,"AS-2008, AS-2009, AS-2010, AS-2020",151,,"iPhone - Dealer filter should only filter by location and make, not year, model, or trim",Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 8,86459
AS-1959,AS-2014,152,,iPhone 2.5 - Add Dealer Images to Dealer Detail Page,Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 8,86462
AS-1963,,153,,iPhone 2.5 - Add inventory clusters to Map View,Story,New,Normal,Mobile 2.5 iPhone - HIP 2,99973
AS-1975,,154,,iPhone 2.5 - Add star/un-star animation to favoriting in app,Story,New,Normal,Mobile 2.5 iPhone - HIP 2,99970
AS-1977,"AS-2015, AS-2016, AS-2017, AS-2018",155,,iPhone 2.5 - Home - Add Recently Saved Listings to Home screen,Story,Closed,Normal,Mobile 2.5 iPhone - Sprint 8,86467
AS-1978,,156,,iPhone 2.5 - Prompt user to rate application,Story,New,Normal,Mobile 2.5 iPhone - HIP 2,99967
